currency,time,price
EFX,1729371600,0.005457
EFX,1729375200,0.005466
EFX,1729378800,0.00547
EFX,1729382400,0.005457
EFX,1729386000,0.005452
EFX,1729389600,0.005453
EFX,1729393200,0.005454
EFX,1729396800,0.005458
EFX,1729400400,0.005457
EFX,1729404000,0.005471
AGS,1729144800,0.003087
AGS,1729148400,0.003084
AGS,1729152000,0.003082
AGS,1729155600,0.003139
AGS,1729159200,0.003117
AGS,1729162800,0.003114
AGS,1729166400,0.003114
AGS,1729170000,0.003089
AGS,1729173600,0.003197
AGS,1729177200,0.003205
AGS,1729180800,0.003206
AGS,1729184400,0.003183
AGS,1729188000,0.003174
AGS,1729191600,0.003183
AGS,1729195200,0.003183
AGS,1729198800,0.003185
AGS,1729202400,0.003174
AGS,1729206000,0.003183
AGS,1729209600,0.003183
AGS,1729213200,0.003169
AGS,1729216800,0.00318
AGS,1729220400,0.00318
AGS,1729224000,0.003181
AGS,1729227600,0.00319
AGS,1729231200,0.003196
AGS,1729234800,0.003197
AGS,1729238400,0.003192
AGS,1729242000,0.003192
AGS,1729245600,0.003187
AGS,1729249200,0.003188
AGS,1729252800,0.00319
AGS,1729256400,0.003196
AGS,1729260000,0.003215
AGS,1729263600,0.003205
AGS,1729267200,0.003206
AGS,1729270800,0.003206
AGS,1729274400,0.003229
AGS,1729278000,0.003199
AGS,1729281600,0.003217
AGS,1729285200,0.003217
AGS,1729288800,0.003201
AGS,1729292400,0.00321
AGS,1729296000,0.003212
AGS,1729299600,0.003215
AGS,1729303200,0.003215
AGS,1729306800,0.003209
AGS,1729310400,0.003213
AGS,1729314000,0.00321
AGS,1729317600,0.003209
AGS,1729321200,0.003218
AGS,1729324800,0.003181
AGS,1729328400,0.003177
AGS,1729332000,0.003172
AGS,1729335600,0.00317
AGS,1729339200,0.00319
AGS,1729342800,0.003188
AGS,1729346400,0.003188
AGS,1729350000,0.003189
AGS,1729353600,0.00318
AGS,1729357200,0.003193
AGS,1729360800,0.003188
AGS,1729364400,0.00319
AGS,1729368000,0.003174
AGS,1729371600,0.003186
AGS,1729375200,0.003186
AGS,1729378800,0.003199
AGS,1729382400,0.0032
AGS,1729386000,0.0032
AGS,1729389600,0.003176
AGS,1729393200,0.003173
AGS,1729396800,0.003174
AGS,1729400400,0.003184
AGS,1729404000,0.003178
VDR,1729144800,0.000557
VDR,1729148400,0.0005569
VDR,1729152000,0.0005443
VDR,1729155600,0.0005444
VDR,1729159200,0.0005452
VDR,1729162800,0.0005452
VDR,1729166400,0.0005452
VDR,1729170000,0.0005451
VDR,1729173600,0.0005451
VDR,1729177200,0.0005452
VDR,1729180800,0.0005476
VDR,1729184400,0.0005114
VDR,1729188000,0.0005114
VDR,1729191600,0.0005114
VDR,1729195200,0.0005114
VDR,1729198800,0.0005307
VDR,1729202400,0.0005307
VDR,1729206000,0.0005307
VDR,1729209600,0.0005307
VDR,1729213200,0.0005329
VDR,1729216800,0.0005329
VDR,1729220400,0.0005329
VDR,1729224000,0.0005328
VDR,1729227600,0.0005329
VDR,1729231200,0.0005333
VDR,1729234800,0.0005247
VDR,1729238400,0.0005247
VDR,1729242000,0.0005246
VDR,1729245600,0.0005244
VDR,1729249200,0.0005303
VDR,1729252800,0.0005303
VDR,1729256400,0.0005314
VDR,1729260000,0.0005309
VDR,1729263600,0.0005309
VDR,1729267200,0.0005309
VDR,1729270800,0.0005309
VDR,1729274400,0.0005267
VDR,1729278000,0.0005268
VDR,1729281600,0.0005275
VDR,1729285200,0.0005347
VDR,1729288800,0.0005347
VDR,1729292400,0.0005299
VDR,1729296000,0.0005262
VDR,1729299600,0.0005272
VDR,1729303200,0.0005272
VDR,1729306800,0.0005239
VDR,1729310400,0.0005239
VDR,1729314000,0.0005239
VDR,1729317600,0.0005239
VDR,1729321200,0.0005239
VDR,1729324800,0.0005239
VDR,1729328400,0.0005239
VDR,1729332000,0.0005239
VDR,1729335600,0.0005267
VDR,1729339200,0.0005267
VDR,1729342800,0.0005265
VDR,1729346400,0.0005265
VDR,1729350000,0.000527
VDR,1729353600,0.0005311
VDR,1729357200,0.0005311
VDR,1729360800,0.0005311
VDR,1729364400,0.0005311
VDR,1729368000,0.0005311
VDR,1729371600,0.0005311
VDR,1729375200,0.0005311
VDR,1729378800,0.0005311
VDR,1729382400,0.0005311
VDR,1729386000,0.0005311
VDR,1729389600,0.0005311
VDR,1729393200,0.0005201
VDR,1729396800,0.0005234
VDR,1729400400,0.0005234
VDR,1729404000,0.0005234
MEE,1729144800,0.00587
MEE,1729148400,0.005906
MEE,1729152000,0.005888
MEE,1729155600,0.005834
MEE,1729159200,0.005808
MEE,1729162800,0.00579
MEE,1729166400,0.005787
MEE,1729170000,0.005897
MEE,1729173600,0.005869
MEE,1729177200,0.005855
MEE,1729180800,0.005836
MEE,1729184400,0.005863
MEE,1729188000,0.005871
MEE,1729191600,0.005767
MEE,1729195200,0.005722
MEE,1729198800,0.005523
MEE,1729202400,0.005522
MEE,1729206000,0.005537
MEE,1729209600,0.005534
MEE,1729213200,0.005562
MEE,1729216800,0.005576
MEE,1729220400,0.005631
MEE,1729224000,0.005684
MEE,1729227600,0.005626
MEE,1729231200,0.005612
MEE,1729234800,0.00559
MEE,1729238400,0.005683
MEE,1729242000,0.005622
MEE,1729245600,0.005592
MEE,1729249200,0.005633
MEE,1729252800,0.005551
MEE,1729256400,0.005355
MEE,1729260000,0.00535
MEE,1729263600,0.005225
MEE,1729267200,0.005188
MEE,1729270800,0.005262
MEE,1729274400,0.005309
MEE,1729278000,0.005316
MEE,1729281600,0.005294
MEE,1729285200,0.005291
MEE,1729288800,0.005127
MEE,1729292400,0.005025
MEE,1729296000,0.00513
MEE,1729299600,0.005115
MEE,1729303200,0.005074
MEE,1729306800,0.005076
MEE,1729310400,0.005218
MEE,1729314000,0.005307
MEE,1729317600,0.005364
MEE,1729321200,0.005364
MEE,1729324800,0.005405
MEE,1729328400,0.005384
MEE,1729332000,0.005378
MEE,1729335600,0.005354
MEE,1729339200,0.005344
MEE,1729342800,0.005384
MEE,1729346400,0.005393
MEE,1729350000,0.00552
MEE,1729353600,0.005429
MEE,1729357200,0.005505
MEE,1729360800,0.005541
MEE,1729364400,0.005585
MEE,1729368000,0.005581
MEE,1729371600,0.005631
MEE,1729375200,0.005212
MEE,1729378800,0.005047
MEE,1729382400,0.005042
MEE,1729386000,0.005108
MEE,1729389600,0.005069
MEE,1729393200,0.005067
MEE,1729396800,0.004906
MEE,1729400400,0.004932
MEE,1729404000,0.005026
