currency,time,price
IRIS,1729404360,0.01529
IRIS,1729404420,0.01531
IRIS,1729404480,0.01531
IRIS,1729404540,0.01531
IRIS,1729404600,0.01531
IRIS,1729404660,0.01531
IRIS,1729404720,0.01531
IRIS,1729404780,0.01532
IRIS,1729404840,0.01533
IRIS,1729404900,0.01534
IRIS,1729404960,0.01534
IRIS,1729405020,0.01534
IRIS,1729405080,0.01533
IRIS,1729405140,0.01534
IRIS,1729405200,0.01533
IRIS,1729405260,0.01533
IRIS,1729405320,0.01534
IRIS,1729405380,0.01545
IRIS,1729405440,0.01546
IRIS,1729405500,0.01543
IRIS,1729405560,0.01545
IRIS,1729405620,0.01545
IRIS,1729405680,0.01546
IRIS,1729405740,0.01547
IRIS,1729405800,0.01546
IRIS,1729405860,0.01545
IRIS,1729405920,0.01544
IRIS,1729405980,0.01548
IRIS,1729406040,0.01548
IRIS,1729406100,0.01547
IRIS,1729406160,0.01546
IRIS,1729406220,0.01543
IRIS,1729406280,0.01539
IRIS,1729406340,0.01538
IRIS,1729406400,0.01537
IRIS,1729406460,0.01538
IRIS,1729406520,0.01543
IRIS,1729406580,0.01543
IRIS,1729406640,0.01544
IRIS,1729406700,0.01544
IRIS,1729406760,0.01539
IRIS,1729406820,0.01551
IRIS,1729406880,0.01547
IRIS,1729406940,0.01552
IRIS,1729407000,0.01552
IRIS,1729407060,0.01552
IRIS,1729407120,0.01552
IRIS,1729407180,0.01552
IRIS,1729407240,0.01552
IRIS,1729407300,0.01551
IRIS,1729407360,0.01546
IRIS,1729407420,0.01545
IRIS,1729407480,0.01546
IRIS,1729407540,0.01546
VITE,1729403940,0.01228
VITE,1729404000,0.01121
VITE,1729404060,0.01228
VITE,1729404120,0.01228
VITE,1729404180,0.01227
VITE,1729404240,0.01227
VITE,1729404300,0.01227
VITE,1729404360,0.01227
VITE,1729404420,0.01228
VITE,1729404480,0.01228
VITE,1729404540,0.01228
VITE,1729404600,0.01228
VITE,1729404660,0.01228
VITE,1729404720,0.01228
VITE,1729404780,0.01228
VITE,1729404840,0.01228
VITE,1729404900,0.01228
VITE,1729404960,0.01228
VITE,1729405020,0.01228
VITE,1729405080,0.01228
VITE,1729405140,0.01228
VITE,1729405200,0.01228
VITE,1729405260,0.01228
VITE,1729405320,0.01228
VITE,1729405380,0.01228
VITE,1729405440,0.01228
VITE,1729405500,0.01228
VITE,1729405560,0.01228
VITE,1729405620,0.01228
VITE,1729405680,0.01228
VITE,1729405740,0.01228
VITE,1729405800,0.01228
VITE,1729405860,0.01228
VITE,1729405920,0.01228
VITE,1729405980,0.01228
VITE,1729406040,0.01228
VITE,1729406100,0.01228
VITE,1729406160,0.01228
VITE,1729406220,0.01228
VITE,1729406280,0.01228
VITE,1729406340,0.01228
VITE,1729406400,0.01228
VITE,1729406460,0.01228
VITE,1729406520,0.01228
VITE,1729406580,0.01228
VITE,1729406640,0.01228
VITE,1729406700,0.01228
VITE,1729406760,0.01228
VITE,1729406820,0.01228
VITE,1729406880,0.01228
VITE,1729406940,0.01228
VITE,1729407000,0.01228
VITE,1729407060,0.01229
VITE,1729407120,0.01229
VITE,1729407180,0.01229
VITE,1729407240,0.01229
VITE,1729407300,0.01229
VITE,1729407360,0.01229
VITE,1729407420,0.01121
VITE,1729407480,0.01231
VITE,1729407540,0.01231
MWC,1729403940,22.27
MWC,1729404000,22.27
MWC,1729404060,22.27
MWC,1729404120,22.27
MWC,1729404180,22.26
MWC,1729404240,22.26
MWC,1729404300,22.26
MWC,1729404360,22.26
MWC,1729404420,22.27
MWC,1729404480,22.27
MWC,1729404540,22.27
MWC,1729404600,22.27
MWC,1729404660,22.27
MWC,1729404720,22.27
MWC,1729404780,22.27
MWC,1729404840,22.27
MWC,1729404900,22.27
MWC,1729404960,22.27
MWC,1729405020,22.27
MWC,1729405080,22.27
MWC,1729405140,22.27
MWC,1729405200,22.27
MWC,1729405260,22.28
MWC,1729405320,22.28
MWC,1729405380,22.28
MWC,1729405440,22.28
MWC,1729405500,22.28
MWC,1729405560,22.28
MWC,1729405620,22.28
MWC,1729405680,22.28
MWC,1729405740,22.28
MWC,1729405800,22.27
MWC,1729405860,22.27
MWC,1729405920,22.27
MWC,1729405980,22.27
MWC,1729406040,22.27
MWC,1729406100,22.27
MWC,1729406160,22.27
MWC,1729406220,22.27
MWC,1729406280,22.27
MWC,1729406340,22.27
MWC,1729406400,22.27
MWC,1729406460,22.27
MWC,1729406520,22.27
MWC,1729406580,22.27
MWC,1729406640,22.27
MWC,1729406700,22.27
MWC,1729406760,22.28
MWC,1729406820,22.28
MWC,1729406880,22.28
MWC,1729406940,22.28
MWC,1729407000,22.28
MWC,1729407060,22.28
MWC,1729407120,22.28
MWC,1729407180,22.29
MWC,1729407240,22.29
MWC,1729407300,22.29
MWC,1729407360,22.3
MWC,1729407420,22.32
MWC,1729407480,22.33
MWC,1729407540,22.33
ZEE,1729403940,0.006647
ZEE,1729404000,0.00665
ZEE,1729404060,0.006657
ZEE,1729404120,0.006657
ZEE,1729404180,0.006655
ZEE,1729404240,0.006659
ZEE,1729404300,0.006657
ZEE,1729404360,0.006654
ZEE,1729404420,0.006652
ZEE,1729404480,0.006654
ZEE,1729404540,0.006655
ZEE,1729404600,0.006655
ZEE,1729404660,0.006656
ZEE,1729404720,0.006654
ZEE,1729404780,0.006656
ZEE,1729404840,0.006656
ZEE,1729404900,0.006656
ZEE,1729404960,0.006655
ZEE,1729405020,0.006656
ZEE,1729405080,0.006656
ZEE,1729405140,0.00666
ZEE,1729405200,0.006657
ZEE,1729405260,0.006651
ZEE,1729405320,0.006654
ZEE,1729405380,0.006637
ZEE,1729405440,0.006637
ZEE,1729405500,0.006639
ZEE,1729405560,0.00664
ZEE,1729405620,0.006642
ZEE,1729405680,0.006639
ZEE,1729405740,0.006657
ZEE,1729405800,0.006656
ZEE,1729405860,0.006653
ZEE,1729405920,0.006657
ZEE,1729405980,0.006655
ZEE,1729406040,0.006653
ZEE,1729406100,0.006653
ZEE,1729406160,0.006653
ZEE,1729406220,0.006649
ZEE,1729406280,0.006649
ZEE,1729406340,0.006657
ZEE,1729406400,0.006653
ZEE,1729406460,0.006656
ZEE,1729406520,0.006652
ZEE,1729406580,0.006651
ZEE,1729406640,0.006652
ZEE,1729406700,0.006651
ZEE,1729406760,0.006654
ZEE,1729406820,0.006653
ZEE,1729406880,0.006649
ZEE,1729406940,0.006649
ZEE,1729407000,0.006652
ZEE,1729407060,0.006648
ZEE,1729407120,0.006646
ZEE,1729407180,0.006648
ZEE,1729407240,0.00665
ZEE,1729407300,0.006647
ZEE,1729407360,0.006649
ZEE,1729407420,0.006654
ZEE,1729407480,0.006649
ZEE,1729407540,0.006649
EOSDAC,1729403940,0.0003432
EOSDAC,1729404000,0.0003434
EOSDAC,1729404060,0.0003432
EOSDAC,1729404120,0.0003431
EOSDAC,1729404180,0.000343
EOSDAC,1729404240,0.000343
EOSDAC,1729404300,0.0003431
EOSDAC,1729404360,0.0003433
EOSDAC,1729404420,0.0003434
EOSDAC,1729404480,0.0003435
EOSDAC,1729404540,0.0003436
EOSDAC,1729404600,0.0003436
EOSDAC,1729404660,0.0003436
EOSDAC,1729404720,0.0003435
EOSDAC,1729404780,0.0003435
EOSDAC,1729404840,0.0003436
EOSDAC,1729404900,0.0003436
EOSDAC,1729404960,0.0003436
EOSDAC,1729405020,0.0003436
EOSDAC,1729405080,0.0003437
EOSDAC,1729405140,0.0003437
EOSDAC,1729405200,0.0003438
EOSDAC,1729405260,0.0003438
EOSDAC,1729405320,0.0003438
EOSDAC,1729405380,0.0003438
EOSDAC,1729405440,0.0003437
EOSDAC,1729405500,0.0003437
EOSDAC,1729405560,0.0003437
EOSDAC,1729405620,0.0003438
EOSDAC,1729405680,0.0003437
EOSDAC,1729405740,0.0003437
EOSDAC,1729405800,0.0003436
EOSDAC,1729405860,0.0003436
EOSDAC,1729405920,0.0003436
EOSDAC,1729405980,0.0003436
EOSDAC,1729406040,0.0003436
EOSDAC,1729406100,0.0003436
EOSDAC,1729406160,0.0003435
EOSDAC,1729406220,0.0003435
EOSDAC,1729406280,0.0003435
EOSDAC,1729406340,0.0003435
EOSDAC,1729406400,0.0003435
EOSDAC,1729406460,0.0003435
EOSDAC,1729406520,0.0003436
EOSDAC,1729406580,0.0003435
EOSDAC,1729406640,0.0003436
EOSDAC,1729406700,0.0003437
EOSDAC,1729406760,0.0003438
EOSDAC,1729406820,0.0003439
EOSDAC,1729406880,0.0003439
EOSDAC,1729406940,0.0003438
EOSDAC,1729407000,0.0003438
EOSDAC,1729407060,0.0003439
EOSDAC,1729407120,0.0003439
EOSDAC,1729407180,0.0003439
EOSDAC,1729407240,0.000344
EOSDAC,1729407300,0.0003439
EOSDAC,1729407360,0.000344
EOSDAC,1729407420,0.0003444
